run_id,ts,equity,drawdown,returns
TrendFollowing_v1.0_EURUSD_0,2026-01-01T00:00:00,10011.93,0.0,0.001193
TrendFollowing_v1.0_EURUSD_0,2026-01-01T01:00:00,10011.17,0.01,-7.7e-05
TrendFollowing_v1.0_EURUSD_0,2026-01-01T02:00:00,10026.14,0.0,0.001495
TrendFollowing_v1.0_EURUSD_0,2026-01-01T03:00:00,10058.68,0.0,0.003246
TrendFollowing_v1.0_EURUSD_0,2026-01-01T04:00:00,10055.99,0.03,-0.000268
TrendFollowing_v1.0_EURUSD_0,2026-01-01T05:00:00,10053.29,0.05,-0.000268
TrendFollowing_v1.0_EURUSD_0,2026-01-01T06:00:00,10087.05,0.0,0.003358
TrendFollowing_v1.0_EURUSD_0,2026-01-01T07:00:00,10104.55,0.0,0.001735
TrendFollowing_v1.0_EURUSD_0,2026-01-01T08:00:00,10097.08,0.07,-0.000739
TrendFollowing_v1.0_EURUSD_0,2026-01-01T09:00:00,10110.06,0.0,0.001285
TrendFollowing_v1.0_EURUSD_0,2026-01-01T10:00:00,10102.71,0.07,-0.000727
TrendFollowing_v1.0_EURUSD_0,2026-01-01T11:00:00,10095.32,0.15,-0.000731
TrendFollowing_v1.0_EURUSD_0,2026-01-01T12:00:00,10102.23,0.08,0.000684
TrendFollowing_v1.0_EURUSD_0,2026-01-01T13:00:00,10065.59,0.44,-0.003627
TrendFollowing_v1.0_EURUSD_0,2026-01-01T14:00:00,10032.88,0.76,-0.00325
TrendFollowing_v1.0_EURUSD_0,2026-01-01T15:00:00,10023.6,0.86,-0.000925
TrendFollowing_v1.0_EURUSD_0,2026-01-01T16:00:00,10005.3,1.04,-0.001826
TrendFollowing_v1.0_EURUSD_0,2026-01-01T17:00:00,10013.59,0.95,0.000828
TrendFollowing_v1.0_EURUSD_0,2026-01-01T18:00:00,9997.41,1.11,-0.001616
TrendFollowing_v1.0_EURUSD_0,2026-01-01T19:00:00,9971.17,1.37,-0.002625
TrendFollowing_v1.0_EURUSD_0,2026-01-01T20:00:00,10002.39,1.06,0.003131
TrendFollowing_v1.0_EURUSD_0,2026-01-01T21:00:00,9999.88,1.09,-0.000252
TrendFollowing_v1.0_EURUSD_0,2026-01-01T22:00:00,10003.23,1.06,0.000335
TrendFollowing_v1.0_EURUSD_0,2026-01-01T23:00:00,9976.72,1.32,-0.002649
TrendFollowing_v1.0_EURUSD_0,2026-01-02T00:00:00,9967.86,1.41,-0.000889
